Actual,Predicted,Error %
16501,17462.119602158273,1649994.1753857213
9164,8713.485554575218,916304.9161331889
9880,10234.24924382436,987896.4144813379
5817,5887.8575364706685,581598.7818886631
7865,7960.587179153856,786398.7846512503
9701,9753.694354131596,969999.4568152343
9394,9305.640408447594,939300.9405960352
14840,15572.166181137176,1483895.0662656259
12747,12049.069703844016,1274605.4752514015
11972,11628.869144924334,1197102.8661113854
13671,13970.191250723576,1366997.8114896442
11374,10710.299933558626,1137305.835238847
9319,9620.752191764037,931796.7619681107
